code,name,type,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,OECD Europe,energy,MtCO2eq,3693.105068,3796.090486,4003.157389,3917.097062,3807.87698,4045.82896,4040.605565,4157.36676,4316.8897,4187.732536,4005.150675,3912.61457,3877.763643,3903.222091,3974.137635,4007.901457,4057.429925,4025.310788,4030.859597,4045.642945,4077.291878,3970.877057,3912.858572,3891.803463,3944.285304,4081.200489,4006.120568,4015.547029,3976.108671,4005.475617,4053.510557,4042.892769,4150.827221,4161.688205,4148.445077,4176.389874,4142.853799,4060.295028,3797.258382,3915.791538,3782.528317,3771.710787,3688.035029,3513.246774,3568.055301,3582.029172,3622.137868,3547.265386,3390.133648,3099.7621
ALB,Albania,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,92.07689984,88.01647956,74.97870501,54.80926735,35.76330495,34.90451409,29.27264486,28.42945867,28.68059905,28.69027045,30.24703033,29.10040066,28.71073678,31.05100448,30.69255658,33.26455293,34.67074267,33.01390553,37.02508506,32.4268147,31.16626795,33.94393174,36.71139477,37.66438876,38.60242195,38.0287465,38.46170818,37.6621943,38.61152166,41.77295299,40.93548738
BLR,Belarus,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,250.9280798,260.5210958,265.2104062,230.9442953,211.1164958,187.6862775,166.3310617,146.6495513,151.0564092,137.9394956,136.9846062,134.4844342,152.4200895,168.5496019,182.1179997,194.9131254,211.8675132,225.1718692,270.273915,242.4109334,257.9500585,275.6056672,272.5178197,287.8210055,236.0921661,215.4005906,226.0421558,239.4867981,242.0589034,235.3033986,
,Kosovo,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Republic of Moldova,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,Republic of North Macedonia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,energy,MtCO2eq,121.3777272,124.7042771,135.1469736,135.4680505,145.986328,159.1068384,166.459657,180.4186073,184.952748,183.7926154,185.0667223,183.1762464,185.766155,182.2154731,182.5983316,188.030516,197.2966071,202.5313615,198.6455179,176.4012989,146.5615524,129.730503,121.0805857,118.1219344,123.5724691,127.2523769,116.5374679,102.1234904,87.55341952,91.54175411,97.35407837,96.09498405,100.7242993,97.51108671,96.62374102,100.6235189,97.4924864,96.24118239,82.32089569,79.47225839,85.56766421,83.31825194,73.82102716,73.014775,74.3242085,72.58889527,75.26917472,76.05159703,74.45673356,70.82667469
RUS,Russian Federation,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,2685.057826,2630.720992,2429.978651,2262.800805,2054.357844,1994.925373,1958.415934,1832.545711,1835.061736,1881.782247,1926.80233,1938.478513,1942.05601,2015.740647,2013.080245,2039.103284,2078.016217,2083.144738,2080.2878,1957.001455,2045.883498,2132.295926,2101.400648,2057.549045,2033.509781,2022.773885,2018.22968,2057.365595,2151.941595,2208.772312,2096.022801
SRB,Serbia,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,104.9938888,97.07360681,68.05304893,74.1256042,66.85108147,67.5067892,63.55035866,54.40514238,55.20975871,68.38082264,81.73505146,82.26738067,85.69523281,96.61943025,102.9171667,105.4507758,106.6760983,116.2330651,120.6517217,94.14876693,105.6684623,125.4617387,132.4005119,138.8900696,138.8996923,142.4448685,140.0935014,139.6700057,142.015145,143.8970786,
UKR,Ukraine,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,711.4773626,673.2645397,585.0722734,511.1150399,426.9139293,411.5829808,359.7391389,340.5703058,320.1460557,317.2611963,308.7738304,311.8002959,314.9461254,340.2750084,316.7854035,304.8052568,311.7646052,319.4718524,308.0242182,260.2353093,278.8669693,291.3069161,285.2293127,278.0895982,244.3465332,196.4634838,206.8858352,180.0412901,191.0382456,179.5531024,171.114466
UZB,Uzbekistan,energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,136.8460694,138.3793384,129.8499668,133.0063032,129.705832,118.2594349,120.5684248,122.186958,139.0035326,139.3973245,147.3222847,149.9490781,155.8553314,146.9227889,149.876604,143.30687,152.6536395,146.7041951,154.3802577,139.5494301,149.6406143,151.4976982,134.6576489,132.1026903,122.7977281,116.2872208,122.8693639,127.2927605,133.9122866,138.1357347,
,Former Soviet Union (if no detail),energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Former Yugoslavia (if no detail),energy,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-OECD Europe and Eurasia,energy,MtCO2eq,2789.776103,2923.751426,3090.942661,3240.411491,3448.973029,3582.875222,3679.442923,3838.996916,3935.790386,4043.015974,4043.33905,4167.10404,4216.88268,4275.62398,4360.095483,4483.982375,4606.654128,4666.183777,4674.173438,4839.119305,4649.544175,4237.421979,3892.285954,3492.135882,3376.019577,3264.942704,3088.119838,3071.239098,3063.850624,3137.384883,3161.724011,3192.614717,3334.126684,3330.990256,3350.317556,3445.207409,3482.682484,3534.015829,3251.046848,3398.952176,3560.788105,3499.917674,3443.597253,3310.184633,3224.220149,3250.650244,3287.834261,3408.510079,3447.213969,
